pair_id,label,confidence_1to5,note
cp000015,within_noise,5,tiny logloss rounding difference
cp000017,extraction_artifact,4,AUC value appears taken from wrong column/dataset row
cp000021,evaluation_setting,3,full/classic setting differs from few-supervision protocol
cp000037,extraction_artifact,4,B selected a neighboring metric column rather than F1
cp000056,extraction_artifact,4,A value/span does not support the mDice cell
cp000072,evaluation_setting,5,standard REDS4 versus compressed-video evaluation
cp000079,extraction_artifact,5,"A context is OK-VQA, not NExT-QA"
cp000086,extraction_artifact,3,ensemble/dev and single/test BERT rows are not the same cell
cp000088,within_noise,5,rounding only: 0.607 versus 0.61
cp000108,extraction_artifact,5,"B value is from the VOT2016 column, not VOT2017 EAO"
cp000124,evaluation_setting,4,B re-implements baselines with its own extracted features
cp000127,evaluation_setting,4,zero-shot/CLIP-style top-1 versus fine-tuned classification
cp000128,extraction_artifact,4,"B appears to be ReCon++/different ablation row, not the same ReCon result"
cp000146,within_noise,3,small CTR logloss gap across implementations
cp000172,within_noise,4,small AUC gap likely run/preprocessing noise
cp000245,evaluation_setting,4,voting/inference variant differs from non-voting result
cp000252,evaluation_setting,5,input point count/normal features differ
cp000266,within_noise,4,small 0.2 point accuracy gap
cp000286,evaluation_setting,5,all-modality/FRM condition versus RGB-only setting
cp000290,split,4,val versus test split
cp000326,split,4,test versus validation split
cp000327,within_noise,4,R@10 gap is tiny despite split label difference
cp000329,within_noise,3,MRR gap is within rough seed/noise band
cp000333,split,5,train pseudo-mask evaluation versus validation segmentation result
cp000345,extraction_artifact,4,B table/caption is Pascal ablation while cell is Cityscapes
cp000351,extraction_artifact,5,generic Ours refers to different papers/methods
cp000353,extraction_artifact,5,generic Ours refers to different papers/methods
cp000396,split,3,test versus validation value for same method family
cp000410,within_noise,5,0.346 versus 0.345 is negligible
cp000441,evaluation_setting,4,forecasting lookback/horizon setup differs
cp000447,evaluation_setting,4,5-fold/cross-validation setup versus held-out test result
cp000498,evaluation_setting,4,training/augmentation context differs for TRBA
cp000501,extraction_artifact,5,B value is a different metric/dataset column
cp000540,evaluation_setting,5,standard/voting accuracy versus few-shot classification
cp000557,split,4,validation table versus MOT challenge test/private-detection setting
cp000566,extraction_artifact,4,percent/metric column mismatch for DialogueCRN
cp000567,extraction_artifact,4,percent/metric column mismatch for DialogueCRN
cp000569,evaluation_setting,4,different baseline feature/extraction setup
cp000578,extraction_artifact,5,B selected another benchmark column; same row contains 64.2
cp000604,evaluation_setting,3,different zero-shot/reporting setup for LLoVi
cp000626,extraction_artifact,4,"B is narrative improvement/other value, not the same MSE cell"
cp000660,within_noise,5,0.596 versus 0.594 is negligible
cp000674,extraction_artifact,4,accuracy/percent column mismatch
cp000686,evaluation_setting,5,full MELD versus converted three-emotion setting
cp000694,metric_variant,2,likely filtered/raw or percent variant in KGE reporting
cp000716,extraction_artifact,5,"A value is WN18/other column, not FB15k MRR"
cp000729,extraction_artifact,4,"ComplEx-N3 is a method variant, not plain ComplEx"
cp000756,genuine_conflict,2,same stated cell but values differ with no visible protocol cause
cp000763,genuine_conflict,2,same stated cell but values differ beyond noise
cp000766,metric_variant,3,KGE MRR likely percent/fraction or filtered/raw variant
cp000768,metric_variant,3,KGE MRR likely percent/fraction or filtered/raw variant
cp000779,extraction_artifact,5,B value does not appear to be Hits@3 for ComplEx
cp000786,within_noise,4,0.941 versus 0.948 is small for KGE
cp000804,extraction_artifact,4,B is ComplEx-N3 rather than the same plain ComplEx result
cp000805,evaluation_setting,4,pretrained/reference setting differs from standard KGE result
cp000807,within_noise,4,0.941 versus 0.948 is small
cp000811,extraction_artifact,4,ComplEx-N3 is not the same method
cp000828,evaluation_setting,4,pretrained/reference setting differs from standard KGE result
cp000830,evaluation_setting,3,pretrained/reference setting differs
cp000835,within_noise,3,small MRR gap
cp000852,within_noise,3,0.522 versus 0.534 is a small MRR gap
cp000890,evaluation_setting,5,few-shot classification versus standard transfer result
cp000896,extraction_artifact,4,"A value appears to be ModelNet/voting column, not ScanObjectNN"
cp000945,evaluation_setting,4,different horizon/lookback aggregation in forecasting table
cp000989,within_noise,3,small MSE gap
cp001002,evaluation_setting,4,generative versus discriminative VisDial setting
cp001029,genuine_conflict,2,same stated Criteo AUC with no visible cause
cp001035,extraction_artifact,5,indoor ScanNet cell matched to outdoor distillation table
cp001064,within_noise,4,93.4 versus 93.2 is negligible
cp001076,within_noise,3,93.8 versus 93.2 is small
cp001085,within_noise,3,93.2 versus 92.7 is small
cp001086,evaluation_setting,5,few-shot classification setting
cp001106,evaluation_setting,4,different ScanObjectNN/variant setting
cp001114,metric_variant,3,KGE Hits@1 likely filtered/raw or percent/fraction variant
cp001119,metric_variant,4,pretrained/raw versus filtered KGE MRR variant
cp001124,extraction_artifact,4,"B context is Countries/other table, not the same FB15k cell"
cp001128,evaluation_setting,4,pretrained/vector evaluation differs from standard KGE result
cp001133,metric_variant,4,filtered/raw KGE MRR variant likely
cp001140,within_noise,2,0.822 versus 0.800 is modest and plausibly reporting noise
cp001156,metric_variant,4,filtered/raw KGE MRR variant likely
cp001258,extraction_artifact,5,"B span names TransE, not DistMult"
cp001272,within_noise,3,0.796 versus 0.810 is a small MRR gap
cp001280,extraction_artifact,5,"A span names TransE, not DistMult"
cp001300,extraction_artifact,5,"B value appears to be WN18, not WN18RR"
cp001331,within_noise,4,0.164 versus 0.162 is tiny
cp001340,evaluation_setting,4,single-head/multi-head or lookback setup differs
cp001362,extraction_artifact,5,"A caption is PASCAL VOC per-class table, not Cityscapes"
cp001364,extraction_artifact,5,"A caption is PASCAL VOC per-class table, not Cityscapes"
cp001420,extraction_artifact,5,"values appear to be improvement/percentage columns, not MSE"
cp001447,extraction_artifact,5,A selected an improvement percentage rather than MSE
cp001475,evaluation_setting,4,forecasting horizon/history length differs
cp001534,evaluation_setting,4,forecasting horizon/aggregation differs
cp001541,evaluation_setting,4,forecasting horizon/aggregation differs
cp001544,evaluation_setting,4,forecasting horizon differs
cp001553,evaluation_setting,3,different repeated-run/lookback setup
cp001562,evaluation_setting,3,lookback/history setting differs
cp001572,evaluation_setting,4,forecasting setup/window differs
cp001589,evaluation_setting,4,forecasting horizon/aggregation differs
cp001605,within_noise,3,0.7836 versus 77.99 percent is a small AUC gap
cp001611,extraction_artifact,5,"A value is logloss, not AUC"
cp001633,evaluation_setting,3,Criteo preprocessing/training setup differs
cp001649,evaluation_setting,3,Criteo experimental setup differs
cp001651,extraction_artifact,5,"A value is logloss, not AUC"
cp001658,extraction_artifact,5,"A value is logloss, not AUC"
cp001664,within_noise,3,small AUC gap
cp001678,within_noise,3,small AUC gap after percent conversion
cp001698,within_noise,3,small AUC gap after percent conversion
cp001708,within_noise,3,small AUC gap
cp001717,evaluation_setting,3,larger AUC gap across different CTR comparison settings
cp001723,within_noise,3,small AUC gap after percent conversion
cp001727,within_noise,5,81.37 versus 81.40 is negligible
cp001729,extraction_artifact,5,EgoSchema values are not comparable; likely wrong benchmark cell
cp001734,extraction_artifact,5,"B context is few-shot ModelNet, not ShapeNetPart"
cp001745,extraction_artifact,5,B selected PSNR value for an SSIM cell
cp001747,extraction_artifact,5,A selected PSNR value for an SSIM cell
cp001763,within_noise,2,Criteo AUC gap is modest but plausible across runs/settings
cp001785,evaluation_setting,5,few-shot classification versus standard transfer
cp001793,extraction_artifact,5,"A is a +4.5 improvement, not absolute mIoU"
cp001806,extraction_artifact,5,"A context is THUMOS14, not ActivityNet AR@100"
cp001818,metric_variant,4,KGE filtered/raw MRR variant likely
cp001834,extraction_artifact,5,"A value is logloss, not Avazu AUC"
cp001927,citation_reporting_discrepancy,4,cited FinalMLP value differs by 0.01 from own reported value
cp001936,within_noise,5,75.12 versus 75.1 is rounding
cp001989,within_noise,4,0.51 point F1 gap is small
cp002003,evaluation_setting,4,B re-implements baselines with extracted features
cp002037,within_noise,3,0.36 dB PSNR gap is small
cp002041,extraction_artifact,4,MSRF-Net value appears to be from a different metric/dataset cell
cp002046,evaluation_setting,4,ABINet variant/input setup differs
cp002047,within_noise,5,94.7 versus 94.6 is negligible
cp002071,evaluation_setting,4,zero-shot/test-dev versus val/model configuration differs
cp002081,split,5,test unseen split versus validation split
cp002084,within_noise,5,SSIM gap is tiny
cp002096,metric_variant,5,"MS MARCO result uses MRR@10 in B, not nDCG@10"
cp002098,genuine_conflict,2,same BEIR nDCG@10 cell with no visible cause
cp002123,split,4,public split versus different/random split setting
cp002143,within_noise,5,79.05 versus 79.1 is rounding
cp002150,within_noise,3,97.1 percent versus 0.9568 is within rough AUC noise
cp002155,evaluation_setting,4,B re-implements baselines with extracted features
